contract_version,dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,delta_definition,training_seed_treatment,n_subjects,n_measurements_per_seed,n_training_seeds,training_seeds,reference_seed_mode,seed_17_delta_mae,seed_23_delta_mae,seed_42_delta_mae,seed_delta_mae_sample_sd,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
source-faithful-v3,PPG-BP,dbp,anyppg,AnyPPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,0.6893730490445779,0.7778346609167239,0.7673271845088095,0.04832651286036282,0.7448449648233705,0.12979869054399443,1.3416207681989918,0.0093,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,84540375
source-faithful-v3,PPG-BP,dbp,papagei_p,PaPaGei-P,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,0.45676324416344194,0.44694255162158564,0.4862437510127575,0.020453730546768495,0.4633165155992617,-0.002595060156742299,0.9187364877305181,0.0257,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3767686501
source-faithful-v3,PPG-BP,dbp,papagei_s,PaPaGei-S,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,0.6449316729193475,0.5287154491750551,0.5502951295403522,0.061816891716283455,0.5746474172115849,0.07336346762412783,1.0497656723992077,0.0126,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2977921070
source-faithful-v3,PPG-BP,dbp,pulseppg,Pulse-PPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,1.1258280587070897,1.0688701941713212,1.0667881348105908,0.033501855464438936,1.0871621292296672,0.4794012176566127,1.6729808434191618,0.0003,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,4142959402
source-faithful-v3,PPG-BP,sbp,anyppg,AnyPPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,1.8378928207272986,1.6564789364046206,1.9881773382311037,0.16609247594870982,1.8275163651210078,0.9431059372974767,2.7521531959880328,0.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1777378553
source-faithful-v3,PPG-BP,sbp,papagei_p,PaPaGei-P,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,2.057130093961257,1.74063933597039,1.7018928306431453,0.19487654417538686,1.833220753524931,0.9190688496207199,2.741653146323262,0.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2499158827
source-faithful-v3,PPG-BP,sbp,papagei_s,PaPaGei-S,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,2.032764933131265,2.017039814409802,2.1022052527659683,0.045318114921393655,2.050670000102345,1.0546280099099763,2.984663692488187,0.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1920186343
source-faithful-v3,PPG-BP,sbp,pulseppg,Pulse-PPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,219,219,3,17/23/42,deterministic_reference_reused_across_seeds,3.259295525917829,3.2501218029345704,3.2420997633607502,0.008604306695069843,3.2505056974043827,1.9270823325944555,4.53867623332584,0.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2861760148
source-faithful-v3,PulseDB-MIMIC,dbp,anyppg,AnyPPG,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,deterministic_reference_reused_across_seeds,0.25394426080360377,0.4081035842261745,0.3987974445258308,0.08644280003629792,0.3536150965185364,0.09910122278520554,0.6059643477873989,0.0029,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,490727470
source-faithful-v3,PulseDB-MIMIC,dbp,papagei_p,PaPaGei-P,finetuned_vs_frozen_with_demographics,finetuned_demographics,frozen_demographics,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,deterministic_reference_reused_across_seeds,0.0010368064915965943,-0.015781259311075265,0.017927619510141452,0.016854452493599025,0.0010610555635542488,-0.18578292960194237,0.18287837590494396,0.4861,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1445642337
