dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,n_subjects,n_measurements,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
BUT PPG,sbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex/BMI,38,66,0.2754545994224336,-0.4198141557311965,0.9010630732454902,0.2044,participant_paired_percentile_fixed_oof,10000,0.95,1592606505
BUT PPG,sbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,0.89168365200749,-0.3179080446384404,2.244234104581073,0.084,participant_paired_percentile_fixed_oof,10000,0.95,650408949
BUT PPG,sbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,0.6210917539556867,-0.40850320676605856,1.775714428074731,0.1226,participant_paired_percentile_fixed_oof,10000,0.95,956030009
BUT PPG,sbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,38,66,2.3055840461769384,1.006321331149082,3.5984173095875076,0.0005,participant_paired_percentile_fixed_oof,10000,0.95,3343256123
PPG-BP,dbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,-0.7222242073486999,-1.3120407832146257,-0.1282640010930803,0.9914,participant_paired_percentile_fixed_oof,10000,0.95,3120317104
PPG-BP,dbp,handcrafted_ppg,PPG features,waveform_plus_demographics_vs_demographics_only,ppg_features_demographics,demographics,age/sex/BMI,219,219,-0.5983079152514851,-1.0908080908956161,-0.10560548153289642,0.9909,participant_paired_percentile_fixed_oof,10000,0.95,1764702265
PPG-BP,dbp,papagei_p,PaPaGei-P,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,0.30672370813251304,-0.025972007484435504,0.6564482757764953,0.035,participant_paired_percentile_fixed_oof,10000,0.95,3519756089
PPG-BP,dbp,papagei_s,PaPaGei-S,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,0.023606616055046256,-0.16887662646805005,0.21062796840701042,0.4092,participant_paired_percentile_fixed_oof,10000,0.95,1331003543
PPG-BP,dbp,pulseppg,Pulse-PPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,-0.14432824619063503,-0.5416195153866402,0.2544069444206435,0.7508,participant_paired_percentile_fixed_oof,10000,0.95,1177577691
PPG-BP,sbp,anyppg,AnyPPG,waveform_plus_demographics_vs_demographics_only,frozen_demographics,demographics,age/sex/BMI,219,219,-1.3666859233462476,-2.657277348352295,-0.0697832870580214,0.9803,participant_paired_percentile_fixed_oof,10000,0.95,2391320868
